,filepaths,labels,data set
0,train\AFRICAN CROWNED CRANE\001.jpg,AFRICAN CROWNED CRANE,train
1,train\AFRICAN CROWNED CRANE\002.jpg,AFRICAN CROWNED CRANE,train
2,train\AFRICAN CROWNED CRANE\003.jpg,AFRICAN CROWNED CRANE,train
3,train\AFRICAN CROWNED CRANE\004.jpg,AFRICAN CROWNED CRANE,train
4,train\AFRICAN CROWNED CRANE\005.jpg,AFRICAN CROWNED CRANE,train
5,train\AFRICAN CROWNED CRANE\006.jpg,AFRICAN CROWNED CRANE,train
6,train\AFRICAN CROWNED CRANE\007.jpg,AFRICAN CROWNED CRANE,train
7,train\AFRICAN CROWNED CRANE\008.jpg,AFRICAN CROWNED CRANE,train
8,train\AFRICAN CROWNED CRANE\009.jpg,AFRICAN CROWNED CRANE,train
9,train\AFRICAN CROWNED CRANE\010.jpg,AFRICAN CROWNED CRANE,train
10,train\AFRICAN CROWNED CRANE\011.jpg,AFRICAN CROWNED CRANE,train
11,train\AFRICAN CROWNED CRANE\012.jpg,AFRICAN CROWNED CRANE,train
12,train\AFRICAN CROWNED CRANE\013.jpg,AFRICAN CROWNED CRANE,train
13,train\AFRICAN CROWNED CRANE\014.jpg,AFRICAN CROWNED CRANE,train
14,train\AFRICAN CROWNED CRANE\015.jpg,AFRICAN CROWNED CRANE,train
15,train\AFRICAN CROWNED CRANE\016.jpg,AFRICAN CROWNED CRANE,train
16,train\AFRICAN CROWNED CRANE\017.jpg,AFRICAN CROWNED CRANE,train
17,train\AFRICAN CROWNED CRANE\018.jpg,AFRICAN CROWNED CRANE,train
18,train\AFRICAN CROWNED CRANE\019.jpg,AFRICAN CROWNED CRANE,train
19,train\AFRICAN CROWNED CRANE\020.jpg,AFRICAN CROWNED CRANE,train
20,train\AFRICAN CROWNED CRANE\021.jpg,AFRICAN CROWNED CRANE,train
21,train\AFRICAN CROWNED CRANE\022.jpg,AFRICAN CROWNED CRANE,train
22,train\AFRICAN CROWNED CRANE\023.jpg,AFRICAN CROWNED CRANE,train
23,train\AFRICAN CROWNED CRANE\024.jpg,AFRICAN CROWNED CRANE,train
24,train\AFRICAN CROWNED CRANE\025.jpg,AFRICAN CROWNED CRANE,train
25,train\AFRICAN CROWNED CRANE\026.jpg,AFRICAN CROWNED CRANE,train
26,train\AFRICAN CROWNED CRANE\027.jpg,AFRICAN CROWNED CRANE,train
27,train\AFRICAN CROWNED CRANE\028.jpg,AFRICAN CROWNED CRANE,train
28,train\AFRICAN CROWNED CRANE\029.jpg,AFRICAN CROWNED CRANE,train
29,train\AFRICAN CROWNED CRANE\030.jpg,AFRICAN CROWNED CRANE,train
30,train\AFRICAN CROWNED CRANE\031.jpg,AFRICAN CROWNED CRANE,train
31,train\AFRICAN CROWNED CRANE\032.jpg,AFRICAN CROWNED CRANE,train
32,train\AFRICAN CROWNED CRANE\033.jpg,AFRICAN CROWNED CRANE,train
33,train\AFRICAN CROWNED CRANE\034.jpg,AFRICAN CROWNED CRANE,train
34,train\AFRICAN CROWNED CRANE\035.jpg,AFRICAN CROWNED CRANE,train
35,train\AFRICAN CROWNED CRANE\036.jpg,AFRICAN CROWNED CRANE,train
36,train\AFRICAN CROWNED CRANE\037.jpg,AFRICAN CROWNED CRANE,train
37,train\AFRICAN CROWNED CRANE\038.jpg,AFRICAN CROWNED CRANE,train
38,train\AFRICAN CROWNED CRANE\039.jpg,AFRICAN CROWNED CRANE,train
39,train\AFRICAN CROWNED CRANE\040.jpg,AFRICAN CROWNED CRANE,train
40,train\AFRICAN CROWNED CRANE\041.jpg,AFRICAN CROWNED CRANE,train
41,train\AFRICAN CROWNED CRANE\042.jpg,AFRICAN CROWNED CRANE,train
42,train\AFRICAN CROWNED CRANE\043.jpg,AFRICAN CROWNED CRANE,train
43,train\AFRICAN CROWNED CRANE\044.jpg,AFRICAN CROWNED CRANE,train
44,train\AFRICAN CROWNED CRANE\045.jpg,AFRICAN CROWNED CRANE,train
45,train\AFRICAN CROWNED CRANE\046.jpg,AFRICAN CROWNED CRANE,train
46,train\AFRICAN CROWNED CRANE\047.jpg,AFRICAN CROWNED CRANE,train
47,train\AFRICAN CROWNED CRANE\048.jpg,AFRICAN CROWNED CRANE,train
48,train\AFRICAN CROWNED CRANE\049.jpg,AFRICAN CROWNED CRANE,train
49,train\AFRICAN CROWNED CRANE\050.jpg,AFRICAN CROWNED CRANE,train
50,train\AFRICAN CROWNED CRANE\051.jpg,AFRICAN CROWNED CRANE,train
51,train\AFRICAN CROWNED CRANE\052.jpg,AFRICAN CROWNED CRANE,train
52,train\AFRICAN CROWNED CRANE\053.jpg,AFRICAN CROWNED CRANE,train
53,train\AFRICAN CROWNED CRANE\054.jpg,AFRICAN CROWNED CRANE,train
54,train\AFRICAN CROWNED CRANE\055.jpg,AFRICAN CROWNED CRANE,train
55,train\AFRICAN CROWNED CRANE\056.jpg,AFRICAN CROWNED CRANE,train
56,train\AFRICAN CROWNED CRANE\057.jpg,AFRICAN CROWNED CRANE,train
57,train\AFRICAN CROWNED CRANE\058.jpg,AFRICAN CROWNED CRANE,train
58,train\AFRICAN CROWNED CRANE\059.jpg,AFRICAN CROWNED CRANE,train
59,train\AFRICAN CROWNED CRANE\061.jpg,AFRICAN CROWNED CRANE,train
60,train\AFRICAN CROWNED CRANE\062.jpg,AFRICAN CROWNED CRANE,train
61,train\AFRICAN CROWNED CRANE\063.jpg,AFRICAN CROWNED CRANE,train
62,train\AFRICAN CROWNED CRANE\064.jpg,AFRICAN CROWNED CRANE,train
63,train\AFRICAN CROWNED CRANE\065.jpg,AFRICAN CROWNED CRANE,train
64,train\AFRICAN CROWNED CRANE\066.jpg,AFRICAN CROWNED CRANE,train
65,train\AFRICAN CROWNED CRANE\067.jpg,AFRICAN CROWNED CRANE,train
66,train\AFRICAN CROWNED CRANE\068.jpg,AFRICAN CROWNED CRANE,train
67,train\AFRICAN CROWNED CRANE\069.jpg,AFRICAN CROWNED CRANE,train
68,train\AFRICAN CROWNED CRANE\070.jpg,AFRICAN CROWNED CRANE,train
69,train\AFRICAN CROWNED CRANE\071.jpg,AFRICAN CROWNED CRANE,train
70,train\AFRICAN CROWNED CRANE\072.jpg,AFRICAN CROWNED CRANE,train
71,train\AFRICAN CROWNED CRANE\073.jpg,AFRICAN CROWNED CRANE,train
72,train\AFRICAN CROWNED CRANE\074.jpg,AFRICAN CROWNED CRANE,train
73,train\AFRICAN CROWNED CRANE\075.jpg,AFRICAN CROWNED CRANE,train
74,train\AFRICAN CROWNED CRANE\076.jpg,AFRICAN CROWNED CRANE,train
75,train\AFRICAN CROWNED CRANE\077.jpg,AFRICAN CROWNED CRANE,train
76,train\AFRICAN CROWNED CRANE\078.jpg,AFRICAN CROWNED CRANE,train
77,train\AFRICAN CROWNED CRANE\079.jpg,AFRICAN CROWNED CRANE,train
78,train\AFRICAN CROWNED CRANE\080.jpg,AFRICAN CROWNED CRANE,train
79,train\AFRICAN CROWNED CRANE\081.jpg,AFRICAN CROWNED CRANE,train
80,train\AFRICAN CROWNED CRANE\082.jpg,AFRICAN CROWNED CRANE,train
81,train\AFRICAN CROWNED CRANE\083.jpg,AFRICAN CROWNED CRANE,train
82,train\AFRICAN CROWNED CRANE\084.jpg,AFRICAN CROWNED CRANE,train
83,train\AFRICAN CROWNED CRANE\085.jpg,AFRICAN CROWNED CRANE,train
84,train\AFRICAN CROWNED CRANE\086.jpg,AFRICAN CROWNED CRANE,train
85,train\AFRICAN CROWNED CRANE\087.jpg,AFRICAN CROWNED CRANE,train
86,train\AFRICAN CROWNED CRANE\088.jpg,AFRICAN CROWNED CRANE,train
87,train\AFRICAN CROWNED CRANE\089.jpg,AFRICAN CROWNED CRANE,train
88,train\AFRICAN CROWNED CRANE\090.jpg,AFRICAN CROWNED CRANE,train
89,train\AFRICAN CROWNED CRANE\091.jpg,AFRICAN CROWNED CRANE,train
90,train\AFRICAN CROWNED CRANE\092.jpg,AFRICAN CROWNED CRANE,train
91,train\AFRICAN CROWNED CRANE\093.jpg,AFRICAN CROWNED CRANE,train
92,train\AFRICAN CROWNED CRANE\094.jpg,AFRICAN CROWNED CRANE,train
93,train\AFRICAN CROWNED CRANE\095.jpg,AFRICAN CROWNED CRANE,train
94,train\AFRICAN CROWNED CRANE\096.jpg,AFRICAN CROWNED CRANE,train
95,train\AFRICAN CROWNED CRANE\097.jpg,AFRICAN CROWNED CRANE,train
96,train\AFRICAN CROWNED CRANE\098.jpg,AFRICAN CROWNED CRANE,train
97,train\AFRICAN CROWNED CRANE\099.jpg,AFRICAN CROWNED CRANE,train
98,train\AFRICAN CROWNED CRANE\100.jpg,AFRICAN CROWNED CRANE,train
99,train\AFRICAN CROWNED CRANE\101.jpg,AFRICAN CROWNED CRANE,train
100,train\AFRICAN CROWNED CRANE\102.jpg,AFRICAN CROWNED CRANE,train
101,train\AFRICAN CROWNED CRANE\103.jpg,AFRICAN CROWNED CRANE,train
102,train\AFRICAN CROWNED CRANE\104.jpg,AFRICAN CROWNED CRANE,train
103,train\AFRICAN CROWNED CRANE\105.jpg,AFRICAN CROWNED CRANE,train
104,train\AFRICAN CROWNED CRANE\106.jpg,AFRICAN CROWNED CRANE,train
105,train\AFRICAN CROWNED CRANE\107.jpg,AFRICAN CROWNED CRANE,train
106,train\AFRICAN CROWNED CRANE\108.jpg,AFRICAN CROWNED CRANE,train
107,train\AFRICAN CROWNED CRANE\109.jpg,AFRICAN CROWNED CRANE,train
108,train\AFRICAN CROWNED CRANE\110.jpg,AFRICAN CROWNED CRANE,train
109,train\AFRICAN CROWNED CRANE\112.jpg,AFRICAN CROWNED CRANE,train
110,train\AFRICAN CROWNED CRANE\113.jpg,AFRICAN CROWNED CRANE,train
111,train\AFRICAN CROWNED CRANE\114.jpg,AFRICAN CROWNED CRANE,train
112,train\AFRICAN CROWNED CRANE\115.jpg,AFRICAN CROWNED CRANE,train
113,train\AFRICAN CROWNED CRANE\116.jpg,AFRICAN CROWNED CRANE,train
114,train\AFRICAN CROWNED CRANE\118.jpg,AFRICAN CROWNED CRANE,train
115,train\AFRICAN CROWNED CRANE\119.jpg,AFRICAN CROWNED CRANE,train
116,train\AFRICAN CROWNED CRANE\120.jpg,AFRICAN CROWNED CRANE,train
117,train\AFRICAN CROWNED CRANE\121.jpg,AFRICAN CROWNED CRANE,train
118,train\AFRICAN CROWNED CRANE\122.jpg,AFRICAN CROWNED CRANE,train
119,train\AFRICAN CROWNED CRANE\123.jpg,AFRICAN CROWNED CRANE,train
120,train\AFRICAN CROWNED CRANE\124.jpg,AFRICAN CROWNED CRANE,train
121,train\AFRICAN CROWNED CRANE\125.jpg,AFRICAN CROWNED CRANE,train
122,train\AFRICAN CROWNED CRANE\126.jpg,AFRICAN CROWNED CRANE,train
123,train\AFRICAN CROWNED CRANE\127.jpg,AFRICAN CROWNED CRANE,train
124,train\AFRICAN CROWNED CRANE\128.jpg,AFRICAN CROWNED CRANE,train
125,train\AFRICAN CROWNED CRANE\129.jpg,AFRICAN CROWNED CRANE,train
126,train\AFRICAN CROWNED CRANE\130.jpg,AFRICAN CROWNED CRANE,train
127,train\AFRICAN CROWNED CRANE\131.jpg,AFRICAN CROWNED CRANE,train
128,train\AFRICAN CROWNED CRANE\132.jpg,AFRICAN CROWNED CRANE,train
129,train\AFRICAN CROWNED CRANE\133.jpg,AFRICAN CROWNED CRANE,train
130,train\AFRICAN CROWNED CRANE\134.jpg,AFRICAN CROWNED CRANE,train
131,train\AFRICAN CROWNED CRANE\135.jpg,AFRICAN CROWNED CRANE,train
132,train\AFRICAN CROWNED CRANE\136.jpg,AFRICAN CROWNED CRANE,train
133,train\AFRICAN CROWNED CRANE\137.jpg,AFRICAN CROWNED CRANE,train
134,train\AFRICAN CROWNED CRANE\138.jpg,AFRICAN CROWNED CRANE,train
135,train\AFRICAN CROWNED CRANE\139.jpg,AFRICAN CROWNED CRANE,train
136,train\AFRICAN CROWNED CRANE\140.jpg,AFRICAN CROWNED CRANE,train
137,train\AFRICAN FIREFINCH\001.jpg,AFRICAN FIREFINCH,train
138,train\AFRICAN FIREFINCH\002.jpg,AFRICAN FIREFINCH,train
139,train\AFRICAN FIREFINCH\003.jpg,AFRICAN FIREFINCH,train
140,train\AFRICAN FIREFINCH\004.jpg,AFRICAN FIREFINCH,train
141,train\AFRICAN FIREFINCH\005.jpg,AFRICAN FIREFINCH,train
142,train\AFRICAN FIREFINCH\006.jpg,AFRICAN FIREFINCH,train
143,train\AFRICAN FIREFINCH\007.jpg,AFRICAN FIREFINCH,train
144,train\AFRICAN FIREFINCH\008.jpg,AFRICAN FIREFINCH,train
145,train\AFRICAN FIREFINCH\009.jpg,AFRICAN FIREFINCH,train
146,train\AFRICAN FIREFINCH\010.jpg,AFRICAN FIREFINCH,train
147,train\AFRICAN FIREFINCH\011.jpg,AFRICAN FIREFINCH,train
148,train\AFRICAN FIREFINCH\012.jpg,AFRICAN FIREFINCH,train
149,train\AFRICAN FIREFINCH\013.jpg,AFRICAN FIREFINCH,train
150,train\AFRICAN FIREFINCH\014.jpg,AFRICAN FIREFINCH,train
151,train\AFRICAN FIREFINCH\015.jpg,AFRICAN FIREFINCH,train
152,train\AFRICAN FIREFINCH\016.jpg,AFRICAN FIREFINCH,train
153,train\AFRICAN FIREFINCH\017.jpg,AFRICAN FIREFINCH,train
154,train\AFRICAN FIREFINCH\018.jpg,AFRICAN FIREFINCH,train
155,train\AFRICAN FIREFINCH\019.jpg,AFRICAN FIREFINCH,train
156,train\AFRICAN FIREFINCH\020.jpg,AFRICAN FIREFINCH,train
157,train\AFRICAN FIREFINCH\021.jpg,AFRICAN FIREFINCH,train
158,train\AFRICAN FIREFINCH\022.jpg,AFRICAN FIREFINCH,train
159,train\AFRICAN FIREFINCH\023.jpg,AFRICAN FIREFINCH,train
160,train\AFRICAN FIREFINCH\024.jpg,AFRICAN FIREFINCH,train
161,train\AFRICAN FIREFINCH\025.jpg,AFRICAN FIREFINCH,train
162,train\AFRICAN FIREFINCH\026.jpg,AFRICAN FIREFINCH,train
163,train\AFRICAN FIREFINCH\027.jpg,AFRICAN FIREFINCH,train
164,train\AFRICAN FIREFINCH\028.jpg,AFRICAN FIREFINCH,train
165,train\AFRICAN FIREFINCH\029.jpg,AFRICAN FIREFINCH,train
166,train\AFRICAN FIREFINCH\030.jpg,AFRICAN FIREFINCH,train
167,train\AFRICAN FIREFINCH\031.jpg,AFRICAN FIREFINCH,train
168,train\AFRICAN FIREFINCH\032.jpg,AFRICAN FIREFINCH,train
169,train\AFRICAN FIREFINCH\033.jpg,AFRICAN FIREFINCH,train
170,train\AFRICAN FIREFINCH\034.jpg,AFRICAN FIREFINCH,train
171,train\AFRICAN FIREFINCH\035.jpg,AFRICAN FIREFINCH,train
172,train\AFRICAN FIREFINCH\036.jpg,AFRICAN FIREFINCH,train
173,train\AFRICAN FIREFINCH\037.jpg,AFRICAN FIREFINCH,train
174,train\AFRICAN FIREFINCH\038.jpg,AFRICAN FIREFINCH,train
175,train\AFRICAN FIREFINCH\039.jpg,AFRICAN FIREFINCH,train
176,train\AFRICAN FIREFINCH\040.jpg,AFRICAN FIREFINCH,train
177,train\AFRICAN FIREFINCH\041.jpg,AFRICAN FIREFINCH,train
178,train\AFRICAN FIREFINCH\042.jpg,AFRICAN FIREFINCH,train
179,train\AFRICAN FIREFINCH\043.jpg,AFRICAN FIREFINCH,train
180,train\AFRICAN FIREFINCH\044.jpg,AFRICAN FIREFINCH,train
181,train\AFRICAN FIREFINCH\045.jpg,AFRICAN FIREFINCH,train
182,train\AFRICAN FIREFINCH\046.jpg,AFRICAN FIREFINCH,train
183,train\AFRICAN FIREFINCH\047.jpg,AFRICAN FIREFINCH,train
184,train\AFRICAN FIREFINCH\048.jpg,AFRICAN FIREFINCH,train
185,train\AFRICAN FIREFINCH\049.jpg,AFRICAN FIREFINCH,train
186,train\AFRICAN FIREFINCH\050.jpg,AFRICAN FIREFINCH,train
187,train\AFRICAN FIREFINCH\051.jpg,AFRICAN FIREFINCH,train
188,train\AFRICAN FIREFINCH\052.jpg,AFRICAN FIREFINCH,train
189,train\AFRICAN FIREFINCH\053.jpg,AFRICAN FIREFINCH,train
190,train\AFRICAN FIREFINCH\054.jpg,AFRICAN FIREFINCH,train
191,train\AFRICAN FIREFINCH\055.jpg,AFRICAN FIREFINCH,train
192,train\AFRICAN FIREFINCH\056.jpg,AFRICAN FIREFINCH,train
193,train\AFRICAN FIREFINCH\057.jpg,AFRICAN FIREFINCH,train
194,train\AFRICAN FIREFINCH\058.jpg,AFRICAN FIREFINCH,train
195,train\AFRICAN FIREFINCH\059.jpg,AFRICAN FIREFINCH,train
196,train\AFRICAN FIREFINCH\060.jpg,AFRICAN FIREFINCH,train
197,train\AFRICAN FIREFINCH\061.jpg,AFRICAN FIREFINCH,train
198,train\AFRICAN FIREFINCH\062.jpg,AFRICAN FIREFINCH,train
199,train\AFRICAN FIREFINCH\063.jpg,AFRICAN FIREFINCH,train
200,train\AFRICAN FIREFINCH\064.jpg,AFRICAN FIREFINCH,train
201,train\AFRICAN FIREFINCH\065.jpg,AFRICAN FIREFINCH,train
202,train\AFRICAN FIREFINCH\066.jpg,AFRICAN FIREFINCH,train
203,train\AFRICAN FIREFINCH\067.jpg,AFRICAN FIREFINCH,train
204,train\AFRICAN FIREFINCH\068.jpg,AFRICAN FIREFINCH,train
205,train\AFRICAN FIREFINCH\069.jpg,AFRICAN FIREFINCH,train
206,train\AFRICAN FIREFINCH\070.jpg,AFRICAN FIREFINCH,train
207,train\AFRICAN FIREFINCH\071.jpg,AFRICAN FIREFINCH,train
208,train\AFRICAN FIREFINCH\072.jpg,AFRICAN FIREFINCH,train
209,train\AFRICAN FIREFINCH\073.jpg,AFRICAN FIREFINCH,train
210,train\AFRICAN FIREFINCH\074.jpg,AFRICAN FIREFINCH,train
211,train\AFRICAN FIREFINCH\075.jpg,AFRICAN FIREFINCH,train
212,train\AFRICAN FIREFINCH\076.jpg,AFRICAN FIREFINCH,train
213,train\AFRICAN FIREFINCH\077.jpg,AFRICAN FIREFINCH,train
214,train\AFRICAN FIREFINCH\078.jpg,AFRICAN FIREFINCH,train
215,train\AFRICAN FIREFINCH\079.jpg,AFRICAN FIREFINCH,train
216,train\AFRICAN FIREFINCH\080.jpg,AFRICAN FIREFINCH,train
217,train\AFRICAN FIREFINCH\081.jpg,AFRICAN FIREFINCH,train
218,train\AFRICAN FIREFINCH\082.jpg,AFRICAN FIREFINCH,train
219,train\AFRICAN FIREFINCH\083.jpg,AFRICAN FIREFINCH,train
220,train\AFRICAN FIREFINCH\084.jpg,AFRICAN FIREFINCH,train
221,train\AFRICAN FIREFINCH\085.jpg,AFRICAN FIREFINCH,train
222,train\AFRICAN FIREFINCH\086.jpg,AFRICAN FIREFINCH,train
223,train\AFRICAN FIREFINCH\087.jpg,AFRICAN FIREFINCH,train
224,train\AFRICAN FIREFINCH\088.jpg,AFRICAN FIREFINCH,train
225,train\AFRICAN FIREFINCH\089.jpg,AFRICAN FIREFINCH,train
226,train\AFRICAN FIREFINCH\090.jpg,AFRICAN FIREFINCH,train
227,train\AFRICAN FIREFINCH\091.jpg,AFRICAN FIREFINCH,train
228,train\AFRICAN FIREFINCH\092.jpg,AFRICAN FIREFINCH,train
229,train\AFRICAN FIREFINCH\093.jpg,AFRICAN FIREFINCH,train
230,train\AFRICAN FIREFINCH\094.jpg,AFRICAN FIREFINCH,train
231,train\AFRICAN FIREFINCH\095.jpg,AFRICAN FIREFINCH,train
232,train\AFRICAN FIREFINCH\096.jpg,AFRICAN FIREFINCH,train
233,train\AFRICAN FIREFINCH\097.jpg,AFRICAN FIREFINCH,train
234,train\AFRICAN FIREFINCH\098.jpg,AFRICAN FIREFINCH,train
235,train\AFRICAN FIREFINCH\099.jpg,AFRICAN FIREFINCH,train
236,train\AFRICAN FIREFINCH\100.jpg,AFRICAN FIREFINCH,train
237,train\AFRICAN FIREFINCH\101.jpg,AFRICAN FIREFINCH,train
238,train\AFRICAN FIREFINCH\102.jpg,AFRICAN FIREFINCH,train
239,train\AFRICAN FIREFINCH\103.jpg,AFRICAN FIREFINCH,train
240,train\AFRICAN FIREFINCH\104.jpg,AFRICAN FIREFINCH,train
241,train\AFRICAN FIREFINCH\105.jpg,AFRICAN FIREFINCH,train
242,train\AFRICAN FIREFINCH\106.jpg,AFRICAN FIREFINCH,train
243,train\AFRICAN FIREFINCH\107.jpg,AFRICAN FIREFINCH,train
244,train\AFRICAN FIREFINCH\108.jpg,AFRICAN FIREFINCH,train
245,train\AFRICAN FIREFINCH\109.jpg,AFRICAN FIREFINCH,train
246,train\AFRICAN FIREFINCH\110.jpg,AFRICAN FIREFINCH,train
247,train\AFRICAN FIREFINCH\111.jpg,AFRICAN FIREFINCH,train
248,train\AFRICAN FIREFINCH\112.jpg,AFRICAN FIREFINCH,train
249,train\AFRICAN FIREFINCH\113.jpg,AFRICAN FIREFINCH,train
250,train\AFRICAN FIREFINCH\114.jpg,AFRICAN FIREFINCH,train
251,train\AFRICAN FIREFINCH\115.jpg,AFRICAN FIREFINCH,train
